,#NCBI_GeneID,gencodeId,HGNC_ID,geneSymbol,name,refseq,RefSeq_prot,transcriptId,Ensembl_prot,MANE_status,GRCh38_chr,chr_start,chr_end,chr_strand
12,GeneID:21,ENSG00000167972,HGNC:33,ABCA3,ATP binding cassette subfamily A member 3,NM_001089,NP_001080.2,ENST00000301732,ENSP00000301732.5,MANE Select,16,2275881,2340728,-
13,GeneID:22,ENSG00000131269,HGNC:48,ABCB7,ATP binding cassette subfamily B member 7,NM_001271696,NP_001258625.1,ENST00000373394,ENSP00000362492.3,MANE Select,X,75051048,75156283,-
14,GeneID:23,ENSG00000204574,HGNC:70,ABCF1,ATP binding cassette subfamily F member 1,NM_001025091,NP_001020262.1,ENST00000326195,ENSP00000313603.8,MANE Select,6,30571442,30591522,+
15,GeneID:24,ENSG00000198691,HGNC:34,ABCA4,ATP binding cassette subfamily A member 4,NM_000350,NP_000341.2,ENST00000370225,ENSP00000359245.3,MANE Select,1,93992834,94121148,-
16,GeneID:25,ENSG00000097007,HGNC:76,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",NM_005157,NP_005148.2,ENST00000318560,ENSP00000323315.5,MANE Select,9,130835254,130887675,+
17,GeneID:26,ENSG00000002726,HGNC:80,AOC1,amine oxidase copper containing 1,NM_001091,NP_001082.2,ENST00000360937,ENSP00000354193.4,MANE Select,7,150852517,150861504,+
18,GeneID:27,ENSG00000143322,HGNC:77,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",NM_007314,NP_009298.1,ENST00000502732,ENSP00000427562.1,MANE Select,1,179099330,179229677,-
19,GeneID:29,ENSG00000159842,HGNC:81,ABR,ABR activator of RhoGEF and GTPase,NM_021962,NP_068781.2,ENST00000302538,ENSP00000303909.5,MANE Select,17,1003519,1179981,-
20,GeneID:30,ENSG00000060971,HGNC:82,ACAA1,acetyl-CoA acyltransferase 1,NM_001607,NP_001598.1,ENST00000333167,ENSP00000333664.8,MANE Select,3,38122715,38137127,-
21,GeneID:31,ENSG00000278540,HGNC:84,ACACA,acetyl-CoA carboxylase alpha,NM_198834,NP_942131.1,ENST00000616317,ENSP00000483300.1,MANE Select,17,37084992,37406836,-
22,GeneID:33,ENSG00000115361,HGNC:88,ACADL,acyl-CoA dehydrogenase long chain,NM_001608,NP_001599.1,ENST00000233710,ENSP00000233710.3,MANE Select,2,210187923,210225447,-
23,GeneID:34,ENSG00000117054,HGNC:89,ACADM,acyl-CoA dehydrogenase medium chain,NM_000016,NP_000007.1,ENST00000370841,ENSP00000359878.5,MANE Select,1,75724709,75763679,+
24,GeneID:35,ENSG00000122971,HGNC:90,ACADS,acyl-CoA dehydrogenase short chain,NM_000017,NP_000008.1,ENST00000242592,ENSP00000242592.4,MANE Select,12,120725826,120740008,+
25,GeneID:36,ENSG00000196177,HGNC:91,ACADSB,acyl-CoA dehydrogenase short/branched chain,NM_001609,NP_001600.1,ENST00000358776,ENSP00000357873.3,MANE Select,10,123009006,123058290,+
26,GeneID:37,ENSG00000072778,HGNC:92,ACADVL,acyl-CoA dehydrogenase very long chain,NM_000018,NP_000009.1,ENST00000356839,ENSP00000349297.5,MANE Select,17,7219938,7225266,+
27,GeneID:38,ENSG00000075239,HGNC:93,ACAT1,acetyl-CoA acetyltransferase 1,NM_000019,NP_000010.1,ENST00000265838,ENSP00000265838.4,MANE Select,11,108121567,108147603,+
28,GeneID:39,ENSG00000120437,HGNC:94,ACAT2,acetyl-CoA acetyltransferase 2,NM_005891,NP_005882.2,ENST00000367048,ENSP00000356015.4,MANE Select,6,159762045,159779112,+
29,GeneID:40,ENSG00000108684,HGNC:99,ASIC2,acid sensing ion channel subunit 2,NM_183377,NP_899233.1,ENST00000225823,ENSP00000225823.2,MANE Select,17,33013087,33293295,-
30,GeneID:41,ENSG00000110881,HGNC:100,ASIC1,acid sensing ion channel subunit 1,NM_001095,NP_001086.2,ENST00000447966,ENSP00000400228.3,MANE Select,12,50057596,50083611,+
31,GeneID:43,ENSG00000087085,HGNC:108,ACHE,acetylcholinesterase (Cartwright blood group),NM_000665,NP_000656.1,ENST00000241069,ENSP00000241069.5,MANE Select,7,100889994,100895888,-
32,GeneID:47,ENSG00000131473,HGNC:115,ACLY,ATP citrate lyase,NM_001096,NP_001087.2,ENST00000352035,ENSP00000253792.2,MANE Select,17,41866918,41918951,-
33,GeneID:48,ENSG00000122729,HGNC:117,ACO1,aconitase 1,NM_002197,NP_002188.1,ENST00000309951,ENSP00000309477.5,MANE Select,9,32384643,32454769,+
34,GeneID:49,ENSG00000100312,HGNC:126,ACR,acrosin,NM_001097,NP_001088.2,ENST00000216139,ENSP00000216139.5,MANE Select,22,50738204,50745339,+
35,GeneID:50,ENSG00000100412,HGNC:118,ACO2,aconitase 2,NM_001098,NP_001089.1,ENST00000216254,ENSP00000216254.4,MANE Select,22,41469117,41528974,+
36,GeneID:51,ENSG00000161533,HGNC:119,ACOX1,acyl-CoA oxidase 1,NM_004035,NP_004026.2,ENST00000293217,ENSP00000293217.4,MANE Select,17,75941507,75979166,-
37,GeneID:52,ENSG00000143727,HGNC:122,ACP1,acid phosphatase 1,NM_004300,NP_004291.1,ENST00000272065,ENSP00000272065.5,MANE Select,2,264947,278283,+
38,GeneID:53,ENSG00000134575,HGNC:123,ACP2,"acid phosphatase 2, lysosomal",NM_001610,NP_001601.1,ENST00000672073,ENSP00000500291.1,MANE Select,11,47239302,47248814,-
39,GeneID:54,ENSG00000102575,HGNC:124,ACP5,"acid phosphatase 5, tartrate resistant",NM_001611,NP_001602.1,ENST00000648477,ENSP00000496973.1,MANE Select,19,11574660,11577645,-
40,GeneID:55,ENSG00000014257,HGNC:125,ACP3,acid phosphatase 3,NM_001099,NP_001090.2,ENST00000336375,ENSP00000337471.5,MANE Select,3,132317407,132358841,+
41,GeneID:56,ENSG00000134940,HGNC:127,ACRV1,acrosomal vesicle protein 1,NM_001612,NP_001603.1,ENST00000533904,ENSP00000432816.1,MANE Select,11,125671522,125680847,-
42,GeneID:58,ENSG00000143632,HGNC:129,ACTA1,"actin alpha 1, skeletal muscle",NM_001100,NP_001091.1,ENST00000366684,ENSP00000355645.3,MANE Select,1,229431245,229434094,-
43,GeneID:59,ENSG00000107796,HGNC:130,ACTA2,"actin alpha 2, smooth muscle",NM_001613,NP_001604.1,ENST00000224784,ENSP00000224784.6,MANE Select,10,88935074,88952773,-
44,GeneID:60,ENSG00000075624,HGNC:132,ACTB,actin beta,NM_001101,NP_001092.1,ENST00000646664,ENSP00000494750.1,MANE Select,7,5527148,5530601,-
45,GeneID:70,ENSG00000159251,HGNC:143,ACTC1,actin alpha cardiac muscle 1,NM_005159,NP_005150.1,ENST00000290378,ENSP00000290378.4,MANE Select,15,34790230,34795549,-
46,GeneID:71,ENSG00000184009,HGNC:144,ACTG1,actin gamma 1,NM_001614,NP_001605.1,ENST00000573283,ENSP00000458435.1,MANE Select,17,81509971,81512799,-
47,GeneID:72,ENSG00000163017,HGNC:145,ACTG2,"actin gamma 2, smooth muscle",NM_001615,NP_001606.1,ENST00000345517,ENSP00000295137.3,MANE Select,2,73893008,73919865,+
48,GeneID:81,ENSG00000130402,HGNC:166,ACTN4,actinin alpha 4,NM_004924,NP_004915.2,ENST00000252699,ENSP00000252699.2,MANE Select,19,38647649,38731589,+
49,GeneID:86,ENSG00000136518,HGNC:24124,ACTL6A,actin like 6A,NM_004301,NP_004292.1,ENST00000429709,ENSP00000397552.2,MANE Select,3,179562926,179588407,+
50,GeneID:87,ENSG00000072110,HGNC:163,ACTN1,actinin alpha 1,NM_001130004,NP_001123476.1,ENST00000394419,ENSP00000377941.4,MANE Select,14,68874128,68979302,-
51,GeneID:88,ENSG00000077522,HGNC:164,ACTN2,actinin alpha 2,NM_001103,NP_001094.1,ENST00000366578,ENSP00000355537.4,MANE Select,1,236686499,236764631,+
52,GeneID:89,ENSG00000248746,HGNC:165,ACTN3,actinin alpha 3,NM_001104,NP_001095.2,ENST00000513398,ENSP00000426797.1,MANE Select,11,66546903,66563334,+
53,GeneID:90,ENSG00000115170,HGNC:171,ACVR1,activin A receptor type 1,NM_001111067,NP_001104537.1,ENST00000434821,ENSP00000405004.1,MANE Select,2,157736446,157876330,-
54,GeneID:91,ENSG00000135503,HGNC:172,ACVR1B,activin A receptor type 1B,NM_004302,NP_004293.1,ENST00000257963,ENSP00000257963.4,MANE Select,12,51951699,51997078,+
55,GeneID:92,ENSG00000121989,HGNC:173,ACVR2A,activin A receptor type 2A,NM_001616,NP_001607.1,ENST00000241416,ENSP00000241416.7,MANE Select,2,147845029,147930822,+
56,GeneID:93,ENSG00000114739,HGNC:174,ACVR2B,activin A receptor type 2B,NM_001106,NP_001097.2,ENST00000352511,ENSP00000340361.3,MANE Select,3,38453890,38493142,+
57,GeneID:94,ENSG00000139567,HGNC:175,ACVRL1,activin A receptor like type 1,NM_000020,NP_000011.2,ENST00000388922,ENSP00000373574.4,MANE Select,12,51907504,51923361,+
58,GeneID:95,ENSG00000243989,HGNC:177,ACY1,aminoacylase 1,NM_000666,NP_000657.1,ENST00000636358,ENSP00000490149.1,MANE Select,3,51983535,51989197,+
59,GeneID:97,ENSG00000119640,HGNC:179,ACYP1,acylphosphatase 1,NM_001107,NP_001098.1,ENST00000238618,ENSP00000238618.3,MANE Select,14,75053243,75064024,-
60,GeneID:98,ENSG00000170634,HGNC:180,ACYP2,acylphosphatase 2,NM_001320586,NP_001307515.1,ENST00000607452,ENSP00000475986.1,MANE Select,2,53971113,54305300,+
61,GeneID:100,ENSG00000196839,HGNC:186,ADA,adenosine deaminase,NM_000022,NP_000013.2,ENST00000372874,ENSP00000361965.4,MANE Select,20,44619522,44651699,-
62,GeneID:101,ENSG00000151651,HGNC:215,ADAM8,ADAM metallopeptidase domain 8,NM_001109,NP_001100.3,ENST00000445355,ENSP00000453302.1,MANE Select,10,133262423,133276868,-
63,GeneID:102,ENSG00000137845,HGNC:188,ADAM10,ADAM metallopeptidase domain 10,NM_001110,NP_001101.1,ENST00000260408,ENSP00000260408.3,MANE Select,15,58588809,58749707,-
64,GeneID:103,ENSG00000160710,HGNC:225,ADAR,adenosine deaminase RNA specific,NM_001111,NP_001102.3,ENST00000368474,ENSP00000357459.4,MANE Select,1,154582057,154608186,-
65,GeneID:104,ENSG00000197381,HGNC:226,ADARB1,adenosine deaminase RNA specific B1,NM_001112,NP_001103.1,ENST00000348831,ENSP00000015877.6,MANE Select,21,45074580,45226560,+
66,GeneID:105,ENSG00000185736,HGNC:227,ADARB2,adenosine deaminase RNA specific B2 (inactive),NM_018702,NP_061172.1,ENST00000381312,ENSP00000370713.1,MANE Select,10,1177313,1737525,-
67,GeneID:107,ENSG00000164742,HGNC:232,ADCY1,adenylate cyclase 1,NM_021116,NP_066939.1,ENST00000297323,ENSP00000297323.7,MANE Select,7,45574368,45723116,+
68,GeneID:108,ENSG00000078295,HGNC:233,ADCY2,adenylate cyclase 2,NM_020546,NP_065433.2,ENST00000338316,ENSP00000342952.4,MANE Select,5,7396138,7830081,+
69,GeneID:109,ENSG00000138031,HGNC:234,ADCY3,adenylate cyclase 3,NM_004036,NP_004027.2,ENST00000679454,ENSP00000505261.1,MANE Select,2,24819169,24920237,-
70,GeneID:111,ENSG00000173175,HGNC:236,ADCY5,adenylate cyclase 5,NM_183357,NP_899200.1,ENST00000462833,ENSP00000419361.1,MANE Select,3,123282296,123449090,-
71,GeneID:113,ENSG00000121281,HGNC:238,ADCY7,adenylate cyclase 7,NM_001114,NP_001105.1,ENST00000673801,ENSP00000501053.1,MANE Select,16,50266551,50318135,+
72,GeneID:114,ENSG00000155897,HGNC:239,ADCY8,adenylate cyclase 8,NM_001115,NP_001106.1,ENST00000286355,ENSP00000286355.5,MANE Select,8,130780301,131040909,-
73,GeneID:115,ENSG00000162104,HGNC:240,ADCY9,adenylate cyclase 9,NM_001116,NP_001107.2,ENST00000294016,ENSP00000294016.3,MANE Select,16,3962653,4116442,-
74,GeneID:116,ENSG00000141433,HGNC:241,ADCYAP1,adenylate cyclase activating polypeptide 1,NM_001099733,NP_001093203.1,ENST00000450565,ENSP00000411658.3,MANE Select,18,904871,912172,+
75,GeneID:117,ENSG00000078549,HGNC:242,ADCYAP1R1,ADCYAP receptor type I,NM_001118,NP_001109.2,ENST00000304166,ENSP00000306620.4,MANE Select,7,31052308,31111474,+
76,GeneID:118,ENSG00000087274,HGNC:243,ADD1,adducin 1,NM_001354761,NP_001341690.1,ENST00000683351,ENSP00000508142.1,MANE Select,4,2843844,2930062,+
77,GeneID:119,ENSG00000075340,HGNC:244,ADD2,adducin 2,NM_001617,NP_001608.1,ENST00000264436,ENSP00000264436.3,MANE Select,2,70656784,70768200,-
78,GeneID:120,ENSG00000148700,HGNC:245,ADD3,adducin 3,NM_016824,NP_058432.1,ENST00000356080,ENSP00000348381.4,MANE Select,10,110007984,110135565,+
79,GeneID:123,ENSG00000147872,HGNC:248,PLIN2,perilipin 2,NM_001122,NP_001113.2,ENST00000276914,ENSP00000276914.2,MANE Select,9,19115761,19127492,-
80,GeneID:124,ENSG00000187758,HGNC:249,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",NM_000667,NP_000658.1,ENST00000209668,ENSP00000209668.2,MANE Select,4,99276369,99290985,-
81,GeneID:125,ENSG00000196616,HGNC:250,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",NM_000668,NP_000659.2,ENST00000305046,ENSP00000306606.8,MANE Select,4,99304971,99321401,-
82,GeneID:126,ENSG00000248144,HGNC:251,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",NM_000669,NP_000660.1,ENST00000515683,ENSP00000426083.1,MANE Select,4,99336497,99352746,-
83,GeneID:127,ENSG00000198099,HGNC:252,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",NM_000670,NP_000661.2,ENST00000265512,ENSP00000265512.7,MANE Select,4,99123658,99144297,-
84,GeneID:128,ENSG00000197894,HGNC:253,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",NM_000671,NP_000662.3,ENST00000296412,ENSP00000296412.8,MANE Select,4,99070978,99088788,-
85,GeneID:130,ENSG00000172955,HGNC:255,ADH6,alcohol dehydrogenase 6 (class V),NM_001102470,NP_001095940.1,ENST00000394899,ENSP00000378359.2,MANE Select,4,99202639,99219246,-
86,GeneID:131,ENSG00000196344,HGNC:256,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",NM_000673,NP_000664.3,ENST00000437033,ENSP00000414254.2,MANE Select,4,99412263,99435342,-
87,GeneID:132,ENSG00000156110,HGNC:257,ADK,adenosine kinase,NM_006721,NP_006712.2,ENST00000539909,ENSP00000443965.2,MANE Select,10,74151221,74709290,+
88,GeneID:133,ENSG00000148926,HGNC:259,ADM,adrenomedullin,NM_001124,NP_001115.1,ENST00000278175,ENSP00000278175.5,MANE Select,11,10305073,10307397,+
89,GeneID:134,ENSG00000163485,HGNC:262,ADORA1,adenosine A1 receptor,NM_000674,NP_000665.1,ENST00000337894,ENSP00000338435.4,MANE Select,1,203127726,203167405,+
90,GeneID:135,ENSG00000128271,HGNC:263,ADORA2A,adenosine A2a receptor,NM_000675,NP_000666.2,ENST00000337539,ENSP00000336630.6,MANE Select,22,24427599,24442357,+
91,GeneID:136,ENSG00000170425,HGNC:264,ADORA2B,adenosine A2b receptor,NM_000676,NP_000667.1,ENST00000304222,ENSP00000304501.2,MANE Select,17,15945130,15975746,+
92,GeneID:140,ENSG00000282608,HGNC:268,ADORA3,adenosine A3 receptor,NM_000677,NP_000668.1,ENST00000241356,ENSP00000241356.4,MANE Select,1,111499429,111503633,-
93,GeneID:142,ENSG00000143799,HGNC:270,PARP1,poly(ADP-ribose) polymerase 1,NM_001618,NP_001609.2,ENST00000366794,ENSP00000355759.5,MANE Select,1,226360691,226408093,-
94,GeneID:143,ENSG00000102699,HGNC:271,PARP4,poly(ADP-ribose) polymerase family member 4,NM_006437,NP_006428.2,ENST00000381989,ENSP00000371419.3,MANE Select,13,24420931,24512778,-
95,GeneID:146,ENSG00000171873,HGNC:280,ADRA1D,adrenoceptor alpha 1D,NM_000678,NP_000669.1,ENST00000379453,ENSP00000368766.4,MANE Select,20,4220630,4249287,-
96,GeneID:147,ENSG00000170214,HGNC:278,ADRA1B,adrenoceptor alpha 1B,NM_000679,NP_000670.1,ENST00000306675,ENSP00000306662.3,MANE Select,5,159916482,159973012,+
97,GeneID:148,ENSG00000120907,HGNC:277,ADRA1A,adrenoceptor alpha 1A,NM_000680,NP_000671.2,ENST00000380573,ENSP00000369947.3,MANE Select,8,26768809,26867278,-
98,GeneID:150,ENSG00000150594,HGNC:281,ADRA2A,adrenoceptor alpha 2A,NM_000681,NP_000672.3,ENST00000280155,ENSP00000280155.2,MANE Select,10,111077029,111080907,+
99,GeneID:151,ENSG00000274286,HGNC:282,ADRA2B,adrenoceptor alpha 2B,NM_000682,NP_000673.2,ENST00000620793,ENSP00000480573.1,MANE Select,2,96112876,96116571,-
100,GeneID:152,ENSG00000184160,HGNC:283,ADRA2C,adrenoceptor alpha 2C,NM_000683,NP_000674.2,ENST00000330055,ENSP00000386069.2,MANE Select,4,3766385,3768526,+
101,GeneID:153,ENSG00000043591,HGNC:285,ADRB1,adrenoceptor beta 1,NM_000684,NP_000675.1,ENST00000369295,ENSP00000358301.2,MANE Select,10,114043866,114046904,+
102,GeneID:154,ENSG00000169252,HGNC:286,ADRB2,adrenoceptor beta 2,NM_000024,NP_000015.2,ENST00000305988,ENSP00000305372.4,MANE Select,5,148826611,148828623,+
103,GeneID:155,ENSG00000188778,HGNC:288,ADRB3,adrenoceptor beta 3,NM_000025,NP_000016.1,ENST00000345060,ENSP00000343782.3,MANE Select,8,37962990,37966599,-
104,GeneID:156,ENSG00000173020,HGNC:289,GRK2,G protein-coupled receptor kinase 2,NM_001619,NP_001610.2,ENST00000308595,ENSP00000312262.5,MANE Select,11,67266473,67286556,+
105,GeneID:157,ENSG00000100077,HGNC:290,GRK3,G protein-coupled receptor kinase 3,NM_005160,NP_005151.2,ENST00000324198,ENSP00000317578.4,MANE Select,22,25564675,25729294,+
106,GeneID:158,ENSG00000239900,HGNC:291,ADSL,adenylosuccinate lyase,NM_000026,NP_000017.1,ENST00000623063,ENSP00000485525.1,MANE Select,22,40346500,40369367,+
107,GeneID:159,ENSG00000035687,HGNC:292,ADSS2,adenylosuccinate synthase 2,NM_001126,NP_001117.2,ENST00000366535,ENSP00000355493.3,MANE Select,1,244408494,244451909,-
108,GeneID:160,ENSG00000196961,HGNC:561,AP2A1,adaptor related protein complex 2 subunit alpha 1,NM_130787,NP_570603.2,ENST00000354293,ENSP00000346246.4,MANE Select,19,49767001,49807114,+
109,GeneID:161,ENSG00000183020,HGNC:562,AP2A2,adaptor related protein complex 2 subunit alpha 2,NM_012305,NP_036437.1,ENST00000448903,ENSP00000413234.3,MANE Select,11,925870,1012240,+
110,GeneID:162,ENSG00000100280,HGNC:554,AP1B1,adaptor related protein complex 1 subunit beta 1,NM_001127,NP_001118.3,ENST00000357586,ENSP00000350199.2,MANE Select,22,29327680,29388570,-
111,GeneID:163,ENSG00000006125,HGNC:563,AP2B1,adaptor related protein complex 2 subunit beta 1,NM_001030006,NP_001025177.1,ENST00000610402,ENSP00000483185.1,MANE Select,17,35587322,35726413,+
112,GeneID:164,ENSG00000166747,HGNC:555,AP1G1,adaptor related protein complex 1 subunit gamma 1,NM_001128,NP_001119.3,ENST00000299980,ENSP00000299980.4,MANE Select,16,71729000,71808834,-
113,GeneID:165,ENSG00000106624,HGNC:303,AEBP1,AE binding protein 1,NM_001129,NP_001120.3,ENST00000223357,ENSP00000223357.3,MANE Select,7,44104345,44114560,+
114,GeneID:166,ENSG00000104964,HGNC:307,TLE5,"TLE family member 5, transcriptional modulator",NM_001130,NP_001121.2,ENST00000327141,ENSP00000317537.4,MANE Select,19,3052910,3062495,-
115,GeneID:167,ENSG00000124812,HGNC:304,CRISP1,cysteine rich secretory protein 1,NM_001131,NP_001122.2,ENST00000335847,ENSP00000338276.4,MANE Select,6,49834257,49866535,-
116,GeneID:173,ENSG00000079557,HGNC:316,AFM,afamin,NM_001133,NP_001124.1,ENST00000226355,ENSP00000226355.3,MANE Select,4,73481745,73504001,+
117,GeneID:174,ENSG00000081051,HGNC:317,AFP,alpha fetoprotein,NM_001134,NP_001125.1,ENST00000395792,ENSP00000379138.2,MANE Select,4,73436221,73456174,+
118,GeneID:175,ENSG00000038002,HGNC:318,AGA,aspartylglucosaminidase,NM_000027,NP_000018.2,ENST00000264595,ENSP00000264595.2,MANE Select,4,177430774,177442437,-
119,GeneID:176,ENSG00000157766,HGNC:319,ACAN,aggrecan,NM_001369268,NP_001356197.1,ENST00000560601,ENSP00000453581.2,MANE Select,15,88803436,88875353,+
120,GeneID:177,ENSG00000204305,HGNC:320,AGER,advanced glycosylation end-product specific receptor,NM_001136,NP_001127.1,ENST00000375076,ENSP00000364217.4,MANE Select,6,32180969,32184253,-
121,GeneID:178,ENSG00000162688,HGNC:321,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",NM_000642,NP_000633.2,ENST00000361915,ENSP00000355106.3,MANE Select,1,99850361,99924020,+
122,GeneID:181,ENSG00000159723,HGNC:330,AGRP,agouti related neuropeptide,NM_001138,NP_001129.1,ENST00000290953,ENSP00000290953.3,MANE Select,16,67482571,67483547,-
123,GeneID:182,ENSG00000101384,HGNC:6188,JAG1,jagged canonical Notch ligand 1,NM_000214,NP_000205.1,ENST00000254958,ENSP00000254958.4,MANE Select,20,10637684,10673999,-
124,GeneID:183,ENSG00000135744,HGNC:333,AGT,angiotensinogen,NM_001384479,NP_001371408.1,ENST00000366667,ENSP00000355627.5,MANE Select,1,230702523,230714122,-
125,GeneID:185,ENSG00000144891,HGNC:336,AGTR1,angiotensin II receptor type 1,NM_000685,NP_000676.1,ENST00000349243,ENSP00000273430.3,MANE Select,3,148697903,148743003,+
126,GeneID:186,ENSG00000180772,HGNC:338,AGTR2,angiotensin II receptor type 2,NM_000686,NP_000677.2,ENST00000371906,ENSP00000360973.4,MANE Select,X,116170744,116174974,+
127,GeneID:189,ENSG00000172482,HGNC:341,AGXT,alanine--glyoxylate and serine--pyruvate aminotransferase,NM_000030,NP_000021.1,ENST00000307503,ENSP00000302620.3,MANE Select,2,240868824,240880500,+
128,GeneID:190,ENSG00000169297,HGNC:7960,NR0B1,nuclear receptor subfamily 0 group B member 1,NM_000475,NP_000466.2,ENST00000378970,ENSP00000368253.4,MANE Select,X,30304206,30309390,-
129,GeneID:191,ENSG00000101444,HGNC:343,AHCY,adenosylhomocysteinase,NM_000687,NP_000678.1,ENST00000217426,ENSP00000217426.2,MANE Select,20,34280268,34303355,-
130,GeneID:196,ENSG00000106546,HGNC:348,AHR,aryl hydrocarbon receptor,NM_001621,NP_001612.1,ENST00000242057,ENSP00000242057.4,MANE Select,7,17298652,17346147,+
131,GeneID:197,ENSG00000145192,HGNC:349,AHSG,alpha 2-HS glycoprotein,NM_001622,NP_001613.2,ENST00000411641,ENSP00000393887.2,MANE Select,3,186613060,186621318,+
132,GeneID:199,ENSG00000204472,HGNC:352,AIF1,allograft inflammatory factor 1,NM_001623,NP_001614.3,ENST00000376059,ENSP00000365227.3,MANE Select,6,31615234,31617015,+
133,GeneID:202,ENSG00000112297,HGNC:356,CRYBG1,crystallin beta-gamma domain containing 1,NM_001371242,NP_001358171.1,ENST00000633556,ENSP00000488010.2,MANE Select,6,106360717,106572017,+
134,GeneID:203,ENSG00000106992,HGNC:361,AK1,adenylate kinase 1,NM_000476,NP_000467.1,ENST00000644144,ENSP00000494600.1,MANE Select,9,127866486,127877675,-
135,GeneID:204,ENSG00000004455,HGNC:362,AK2,adenylate kinase 2,NM_001625,NP_001616.1,ENST00000672715,ENSP00000499935.1,MANE Select,1,33007986,33036883,-
136,GeneID:205,ENSG00000162433,HGNC:363,AK4,adenylate kinase 4,NM_013410,NP_037542.1,ENST00000327299,ENSP00000322175.7,MANE Select,1,65148203,65232145,+
137,GeneID:207,ENSG00000142208,HGNC:391,AKT1,AKT serine/threonine kinase 1,NM_001382430,NP_001369359.1,ENST00000649815,ENSP00000497822.1,MANE Select,14,104769349,104795748,-
138,GeneID:208,ENSG00000105221,HGNC:392,AKT2,AKT serine/threonine kinase 2,NM_001626,NP_001617.1,ENST00000392038,ENSP00000375892.2,MANE Select,19,40230317,40285345,-
139,GeneID:210,ENSG00000148218,HGNC:395,ALAD,aminolevulinate dehydratase,NM_000031,NP_000022.3,ENST00000409155,ENSP00000386284.3,MANE Select,9,113386312,113401284,-
140,GeneID:211,ENSG00000023330,HGNC:396,ALAS1,5'-aminolevulinate synthase 1,NM_000688,NP_000679.1,ENST00000484952,ENSP00000418779.1,MANE Select,3,52198160,52214327,+
141,GeneID:212,ENSG00000158578,HGNC:397,ALAS2,5'-aminolevulinate synthase 2,NM_000032,NP_000023.2,ENST00000650242,ENSP00000497236.1,MANE Select,X,55009055,55030977,-
142,GeneID:213,ENSG00000163631,HGNC:399,ALB,albumin,NM_000477,NP_000468.1,ENST00000295897,ENSP00000295897.4,MANE Select,4,73404287,73421482,+
